timeStamp,bestBid,bestAsk,bidSize,askSize
42309,998723,998724,694,31
42310,998723,998724,694,31
42350,998723,998724,694,31
42350,998723,998724,674,31
42350,998723,998724,674,31
42350,998723,998724,665,31
42350,998723,998724,665,31
42350,998723,998724,665,31
42350,998723,998724,665,31
42379,998723,998724,665,31
42400,998723,998724,665,31
42400,998723,998724,665,31
42400,998723,998724,665,31
42400,998723,998724,665,31
42400,998723,998724,665,31
42400,998723,998724,665,31
42400,998723,998724,665,31
42400,998723,998724,665,31
42400,998723,998724,665,31
42414,998723,998724,665,31
42450,998723,998724,665,31
42450,998723,998724,627,31
42450,998723,998724,627,31
42450,998723,998724,627,31
42450,998723,998724,580,31
42500,998723,998724,580,31
42500,998723,998724,580,31
42500,998723,998724,580,31
42500,998723,998724,580,31
42500,998723,998724,610,31
42500,998723,998724,610,31
42500,998723,998724,610,31
42500,998723,998724,610,31
42500,998723,998724,610,31
42500,998723,998724,563,31
42500,998723,998724,541,31
42500,998723,998724,526,31
42500,998723,998724,526,31
42500,998723,998724,526,31
42500,998723,998724,526,31
42500,998723,998724,526,31
42500,998723,998724,526,31
42501,998723,998724,526,31
42502,998723,998724,526,31
42503,998723,998724,526,31
42504,998723,998724,526,31
42505,998723,998724,526,31
42507,998723,998724,526,31
42508,998723,998724,526,31
42511,998723,998724,526,31
42512,998723,998724,496,31
42514,998723,998724,496,31
42516,998723,998724,496,31
42517,998723,998724,496,31
42518,998723,998724,496,31
42519,998723,998724,496,31
42521,998723,998724,496,31
42522,998723,998724,496,31
42524,998723,998724,496,31
42525,998723,998724,496,31
42530,998723,998724,496,31
42531,998723,998724,496,31
42532,998723,998724,496,31
42533,998723,998724,496,31
42534,998723,998724,496,31
42537,998723,998724,496,31
42540,998723,998724,496,31
42545,998723,998724,496,31
42546,998723,998724,496,31
42547,998723,998724,496,31
42548,998723,998724,496,31
42550,998723,998724,472,31
42550,998723,998724,472,31
42550,998723,998724,472,31
42550,998723,998724,472,31
42554,998723,998724,472,31
42556,998723,998724,472,31
42557,998723,998724,472,31
42558,998723,998724,472,31
42563,998723,998724,472,31
42567,998723,998724,472,31
42568,998723,998724,472,31
42588,998723,998724,472,31
42600,998723,998724,472,31
42600,998723,998724,472,31
42600,998723,998724,472,31
42600,998723,998724,472,31
42600,998723,998724,462,31
42600,998723,998724,462,31
42600,998723,998724,462,31
42600,998723,998724,462,31
42600,998723,998724,432,31
42600,998723,998724,432,31
42600,998723,998724,432,31
42603,998723,998724,432,31
42604,998723,998724,432,31
42623,998723,998724,432,31
42650,998723,998724,394,31
42650,998723,998724,394,31
42650,998723,998724,394,31
42650,998723,998724,394,31
42656,998723,998724,394,31
42663,998723,998724,394,31
42700,998723,998724,365,31
42700,998723,998724,365,31
42700,998723,998724,378,31
42700,998723,998724,378,31
42700,998723,998724,367,31
42700,998723,998724,367,31
42700,998723,998724,367,31
42700,998723,998724,336,31
42700,998723,998724,336,31
42700,998723,998724,336,31
42750,998723,998724,365,31
42750,998723,998724,365,31
42750,998723,998724,365,31
42750,998723,998724,365,31
42750,998723,998724,365,31
42750,998723,998724,319,31
42750,998723,998724,270,31
42750,998723,998724,270,31
42750,998723,998724,270,31
42750,998723,998724,270,31
42751,998723,998724,270,31
42752,998723,998724,270,31
42753,998723,998724,270,31
42754,998723,998724,270,31
42755,998723,998724,270,31
42756,998723,998724,270,31
42758,998723,998724,270,31
42759,998723,998724,241,31
42761,998723,998724,241,31
42762,998723,998724,241,31
42763,998723,998724,241,31
42764,998723,998724,241,31
42765,998723,998724,241,31
42770,998723,998724,241,31
42772,998723,998724,241,31
42775,998723,998724,241,31
42776,998723,998724,241,31
42778,998723,998724,241,31
42781,998723,998724,241,31
42784,998723,998724,241,31
42787,998723,998724,241,31
42792,998723,998724,241,31
42795,998723,998724,241,31
42796,998723,998724,241,31
42798,998723,998724,241,31
42800,998723,998724,241,31
42800,998723,998724,241,31
42800,998723,998724,241,31
42800,998723,998724,241,31
42800,998723,998724,241,31
42800,998723,998724,241,31
42800,998723,998724,241,31
42800,998723,998724,241,31
42801,998723,998724,241,31
42806,998723,998724,241,31
42810,998723,998724,241,31
42813,998723,998724,241,31
42819,998723,998724,241,31
42824,998723,998724,241,31
42825,998723,998724,241,31
42826,998723,998724,241,31
42827,998723,998724,241,31
42828,998723,998724,241,31
42832,998723,998724,241,31
42840,998723,998724,241,31
42849,998723,998724,241,31
42850,998723,998724,241,31
42850,998723,998724,241,31
42850,998723,998724,241,31
42850,998723,998724,241,31
42850,998723,998724,235,31
42851,998723,998724,235,31
42863,998723,998724,235,31
42865,998723,998724,235,31
42874,998723,998724,235,31
42887,998723,998724,235,31
42900,998723,998724,235,31
42900,998723,998724,190,31
42900,998723,998724,190,31
42900,998723,998724,190,31
42900,998723,998724,190,31
42900,998723,998724,190,31
42900,998723,998724,147,31
42900,998723,998724,132,31
42900,998723,998724,132,31
42900,998723,998724,123,31
42900,998723,998724,123,31
42900,998723,998724,122,31
42900,998723,998724,107,31
42900,998723,998724,107,31
42900,998723,998724,107,31
42900,998723,998724,90,31
42950,998723,998724,77,31
42950,998723,998724,77,31
42950,998723,998724,77,31
42950,998723,998724,77,31
43000,998723,998724,77,31
43000,998723,998724,77,31
43000,998723,998724,77,31
43000,998723,998724,77,31
43000,998723,998724,77,31
